"sample_name","pheno_species","site","site_group","Zone","pop_0_mean","pop_1_mean","pop_0_min_CI","pop_1_min_CI","pop_0_max_CI","pop_1_max_CI","ci_geno_species"
"Fescue18","FA","GLEN7","GLEN","Sympatric 1",0.562484,0.437516,0.539065,0.41413,0.58587,0.460935,"HY"
"Fescue19","FA","CHSK2","CHSK","Sympatric 2",0.635977,0.364023,0.614277,0.34192,0.65808,0.385724,"HY"
"Fescue2","FA","GLEN3","GLEN","Sympatric 1",0.17343,0.82657,0.153219,0.806614,0.193386,0.846781,"HY"
"Fescue20","FA","CHSK2","CHSK","Sympatric 2",0.680994,0.319006,0.660314,0.297978,0.702022,0.339686,"HY"
"Fescue22","FA","CHSK2","CHSK","Sympatric 2",0.647455,0.352545,0.625822,0.331114,0.668886,0.374178,"HY"
"Fescue23","FA","GAP1","GAP","Sympatric 2",0.641408,0.358592,0.618765,0.336618,0.663382,0.381235,"HY"
"Fescue25","FA","CHAB1","CHAB","Sympatric 2",0.4946,0.5054,0.47155,0.482504,0.517496,0.52845,"HY"
"Fescue26","FA","CHAB1","CHAB","Sympatric 2",0.555149,0.444851,0.534542,0.423977,0.576023,0.465458,"HY"
"Fescue27","FA","CHAB2","CHAB","Sympatric 2",0.513882,0.486118,0.492151,0.464489,0.535511,0.507849,"HY"
"Fescue28","FA","CHAB2","CHAB","Sympatric 2",0.580232,0.419768,0.558723,0.398165,0.601835,0.441277,"HY"
"Fescue29","FA","CHAB2","CHAB","Sympatric 2",0.451959,0.548041,0.429645,0.527056,0.472944,0.570355,"HY"
"Fescue3","FA","GLEN3","GLEN","Sympatric 1",0.179335,0.820665,0.159319,0.799555,0.200445,0.840681,"HY"
"Fescue30","FA","CHAB2","CHAB","Sympatric 2",0.472857,0.527143,0.45056,0.505107,0.494893,0.54944,"HY"
"Fescue31","FA","CHAB2","CHAB","Sympatric 2",0.455938,0.544062,0.434249,0.522261,0.477739,0.565751,"HY"
"Fescue32","FA","CHAB2","CHAB","Sympatric 2",0.477324,0.522676,0.45574,0.501185,0.498815,0.54426,"HY"
"Fescue33","FA","CHAB2","CHAB","Sympatric 2",0.496034,0.503966,0.474351,0.48238,0.51762,0.525649,"HY"
"Fescue34","FC","BEAU1","BEAU","FC allopatric",0.000123,0.999877,0,0.999052,0.000948,1,"FC"
"Fescue35","FC","BEAU1","BEAU","FC allopatric",0.000141,0.999859,0,0.998874,0.001126,1,"FC"
